"","ID","Date","Topic","URL"
"1",2.01,"2015-10-12","Recap of Unit I & Moving Forward ","https://docs.google.com/document/d/1ZQS7hcwOe6RrCCT4CMZt7QEXVSiHqeHXWOwQNC74Kek"
"2",2.02,"2015-10-14","Dr. MLK vs Malcom-X ","https://docs.google.com/document/d/1SEYPd3Hplj411Rnktrp0xYeWwfI-a2j63J8RhUnsdwE"
"3",2.03,"2015-10-16","From Civil Rights to Self-Restoration ","https://docs.google.com/document/d/1xIyL8Mu-K0PUzX9m1EHRv6y5NbRJdUG0RJ6RDXVdyh0"
"4",2.04,"2015-10-19","Black Athletes ","https://docs.google.com/document/d/1TRio7hNrPtSrJVFXlx_rounPqf42HyKXDxzEJXh4hm0"
"5",2.05,"2015-10-21","Black Power Mixtape ","https://docs.google.com/document/d/1-RAynk1_qYP5pQDUs8j4UBYcaGz1qq32OreX8sKwORg"
"6",2.06,"2015-10-26","Civil Rights Movement (?) ","https://docs.google.com/document/d/1NRHxZQkbbMcjnq4FqARQb9pNo74hnSE2gM3I1F-SzcI"
"7",2.07,"2015-11-02","Black Feminism ","https://docs.google.com/document/d/1MM4ad1wOXNHt2tOcqfNDpcnQU4vsBhH6i_ouyXljfXE"
"8",2.08,"2015-11-04","Dr Richardson on Black Feminism ","https://docs.google.com/document/d/19tEtxFzIX63Y1kwmbxfWUYD-XIfKma4-5D2U5T0pFi0"
"9",2.09,"2015-11-06","Education ","https://docs.google.com/document/d/11HmuFZj8EfWmS9GlBPhstalR8K1MvJt9N8KE9FcV6LI"
"10",2.1,"2015-11-09","Stereotype Threat ","https://docs.google.com/document/d/1R30pvMDnLWpsHQnfM80Gmn4jW4I15ak1cLveoSItM8E"
"11",2.11,"2015-11-11","War & Mental Health ","https://docs.google.com/document/d/1wPNSlyu1s82Py7Uom2mwbLVb9a5U1YlrJR_r1MyeC28"
"12",2.12,"2015-11-16","Blackademics ","https://docs.google.com/document/d/1elN9imuH_AO1HZV3kA0wSCIbt6Zl_Y6EElrjZhf_6Jg"
"13",2.13,"2015-11-18","Pleasants/Salter & Brown ","https://docs.google.com/document/d/1fd59VvAQ8hrZLjdxwexpZGtMwm16m70uxfO8SOTolsE"
"14",2.14,"2015-11-20","Between The World and Me ","https://docs.google.com/document/d/17gSGJSoFCkH48hKUXDvHqKYAm6ObXyilE0u_oa7_CVk"
"15",2.15,"2015-11-30","Broadcast & the Revolution ","https://docs.google.com/document/d/1GU9vWhyRp34KyPYmxwdGf8DplkH2kt_pmkliO5E1mCI"
"16",2.16,"2015-12-02","Review ","https://docs.google.com/document/d/1MMF-kQiRuDlg86uNAkf29MN8wBd5uRA5yoYfO3Twb64"
